partition,elements,neighboring_ranks,max_mpi_faces_per_neighboring_rank,interior_elements,mpi_elements,mpi_faces,mpi_dr_faces,dynamic_rupture_faces,free_surface_faces,transparent_faces
3774,11953,16,346,10329,1624,2124,0,0,0,0
3775,11949,18,453,10097,1852,2406,0,0,0,0
3776,11951,17,362,10244,1707,2168,0,0,0,0
3777,11952,14,419,10389,1563,2024,0,0,0,0
3778,11958,15,405,10102,1856,2388,0,0,0,0
3779,11936,16,419,10033,1903,2452,0,0,0,0
3780,11971,16,417,10207,1764,2210,0,0,0,0
3781,11935,17,386,10317,1618,2100,0,0,0,0
3782,11909,16,379,10164,1745,2264,0,0,0,0
3783,12005,14,379,10399,1606,2034,0,0,0,0
3784,12030,11,413,10471,1559,2054,0,0,0,0
3785,11963,16,319,10175,1788,2330,0,0,0,0
3786,11944,16,413,10099,1845,2386,0,0,0,0
3787,11962,14,292,10252,1710,2224,0,0,0,0
3788,11987,15,358,10202,1785,2254,0,0,0,0
3789,11926,16,300,10170,1756,2222,0,0,0,0
3790,11934,16,386,10183,1751,2268,0,0,0,0
3791,12013,13,385,10378,1635,2136,0,0,0,0
3792,11871,17,287,10164,1707,2132,0,0,0,0
3793,11967,16,325,10261,1706,2260,0,0,0,0
3794,11951,13,399,10330,1621,2088,0,0,0,0
3795,11981,17,399,10113,1868,2456,0,0,0,0
3796,11959,17,324,10194,1765,2254,0,0,0,0
3797,11945,15,334,10292,1653,2126,0,0,0,0
3798,11926,18,409,10185,1741,2144,0,0,0,0
3799,12034,16,409,10396,1638,2130,0,0,0,0
3800,11903,16,406,10125,1778,2236,0,0,0,0
3801,11963,16,408,10183,1780,2302,0,0,0,0
3802,11954,9,285,10784,1170,1291,0,0,867,0
3803,12010,18,287,10152,1858,2252,0,0,0,0
3804,11964,11,252,10591,1373,1530,0,0,612,0
3805,11903,9,312,10693,1210,1351,0,0,639,0
3806,11886,15,310,10511,1375,1609,0,0,441,0
3807,12000,11,316,10696,1304,1501,0,0,695,0
3808,11863,10,324,10445,1418,1576,0,0,732,0
3809,11975,9,316,10785,1190,1343,0,0,685,0
3810,11985,9,358,10720,1265,1467,0,0,621,0
3811,11918,10,308,10692,1226,1342,0,0,700,0
3812,12036,16,334,10378,1658,1990,0,0,220,0
3813,11980,12,338,10629,1351,1511,0,0,591,0
