partition,elements,neighboring_ranks,max_mpi_faces_per_neighboring_rank,interior_elements,mpi_elements,mpi_faces,mpi_dr_faces,dynamic_rupture_faces,free_surface_faces,transparent_faces,mpi_copy_elements,mpi_ghost_elements
64,1520,13,108,1098,422,480,0,0,0,58,446,459
65,1524,14,108,1111,413,474,0,0,0,112,447,461
66,1509,12,129,1099,410,473,0,0,0,47,448,446
67,1506,8,129,1202,304,325,0,0,0,223,319,305
68,1525,12,88,1151,374,447,0,0,0,107,410,430
69,1517,9,93,1109,408,467,0,0,0,55,436,455
70,1508,19,81,1035,473,530,0,0,0,0,510,503
71,1507,13,93,1102,405,456,0,0,0,82,434,421
72,1519,14,89,1067,452,510,0,0,0,0,497,483
73,1505,9,81,1131,374,415,0,0,151,0,399,393
74,1510,11,122,1091,419,480,0,0,0,0,449,476
75,1516,10,122,1119,397,453,0,0,97,0,425,432
76,1502,11,94,1121,381,414,0,0,110,0,405,390
77,1507,6,91,1209,298,314,0,0,111,111,311,297
78,1515,7,97,1232,283,319,0,0,117,80,302,309
79,1501,13,97,1073,428,477,0,0,45,0,465,445
80,1513,9,83,1139,374,421,0,0,93,14,397,415
81,1522,7,99,1206,316,354,0,0,113,59,335,347
82,1500,9,93,1142,358,383,0,0,0,123,377,359
83,1524,17,93,1057,467,536,0,0,0,16,507,511
84,1504,15,102,1067,437,493,0,0,141,0,477,466
85,1516,9,76,1179,337,376,0,0,92,0,361,365
86,1507,15,117,1052,455,518,0,0,0,0,494,502
87,1488,17,117,1022,466,540,0,0,0,0,521,499
88,1519,13,89,1103,416,493,0,0,0,53,450,483
89,1506,8,89,1219,287,319,0,0,0,189,298,308
90,1507,6,91,1231,276,306,0,0,111,75,288,300
91,1507,5,91,1231,276,293,0,0,92,125,293,262
92,1499,4,99,1178,321,338,0,0,53,85,328,318
93,1513,8,99,1162,351,393,0,0,35,82,376,377
94,1513,8,93,1139,374,407,0,0,73,0,398,388
95,1518,11,73,1154,364,416,0,0,92,0,392,412
96,1505,11,102,1105,400,440,0,0,122,0,435,412
97,1495,14,102,1042,453,502,0,0,0,0,488,481
98,1523,13,98,1097,426,496,0,0,0,0,457,486
99,1514,10,98,1148,366,410,0,0,108,0,386,397
100,1517,9,88,1157,360,419,0,0,105,0,393,400
101,1505,11,88,1134,371,420,0,0,64,0,394,398
102,1494,9,69,1150,344,384,0,0,110,0,370,352
103,1510,16,70,1035,475,542,0,0,0,0,521,513
104,1516,10,110,1127,389,439,0,0,63,0,407,437
105,1491,11,103,1110,381,421,0,0,99,0,414,392
106,1523,11,107,1112,411,458,0,0,32,0,432,445
107,1482,11,110,1075,407,445,0,0,73,0,437,403
108,1512,17,78,1037,475,544,0,0,0,0,520,527
109,1506,17,78,1018,488,554,0,0,0,0,538,515
110,1511,17,78,1038,473,544,0,0,0,0,513,528
111,1513,19,79,1041,472,560,0,0,0,0,520,546
112,1505,15,108,1111,394,444,0,0,96,0,423,424
113,1523,8,84,1278,245,283,0,0,86,111,259,277
114,1513,9,129,1165,348,401,0,0,123,0,375,390
115,1524,11,129,1038,486,554,0,0,32,0,526,526
116,1514,11,90,1138,376,418,0,0,0,106,402,405
117,1498,20,98,1026,472,526,0,0,0,0,514,500
118,1493,11,146,1076,417,442,0,0,0,56,434,396
119,1509,8,146,1199,310,354,0,0,122,84,323,339
120,1496,10,89,1139,357,397,0,0,141,0,381,380
121,1514,13,97,1072,442,508,0,0,0,0,478,496
122,1506,11,80,1122,384,430,0,0,120,0,425,397
123,1497,6,94,1206,291,325,0,0,64,89,309,301
124,1525,12,94,1154,371,444,0,0,0,92,409,427
125,1494,16,97,1043,451,512,0,0,0,0,505,479
126,1514,11,124,1157,357,414,0,0,0,150,381,405
127,1499,16,124,1016,483,552,0,0,0,0,535,515
128,1512,10,132,1106,406,441,0,0,0,73,429,414
129,1500,7,132,1206,294,321,0,0,119,112,313,297
130,1523,8,102,1194,329,368,0,0,156,46,352,356
131,1498,12,68,1108,390,454,0,0,0,158,423,437
132,1513,11,97,1085,428,490,0,0,0,0,458,460
133,1527,13,97,1051,476,537,0,0,63,0,500,511
134,1524,13,89,1074,450,534,0,0,42,0,488,502
135,1514,8,89,1178,336,371,0,0,127,0,353,345
136,1509,9,107,1167,342,395,0,0,149,0,362,388
137,1494,15,107,1043,451,522,0,0,0,0,502,493
138,1519,10,144,1170,349,388,0,0,158,0,371,377
139,1499,14,144,1020,479,536,0,0,8,0,524,501
140,1504,9,75,1127,377,425,0,0,103,0,406,398
141,1517,11,90,1063,454,540,0,0,0,0,496,522
142,1506,16,83,1055,451,502,0,0,0,0,488,466
143,1524,15,83,1020,504,584,0,0,0,0,557,554
144,1489,19,87,1014,475,532,0,0,0,0,509,490
145,1512,13,87,1075,437,498,0,0,0,0,476,479
146,1510,11,101,1147,363,395,0,0,173,0,386,379
147,1524,14,101,1101,423,482,0,0,0,0,456,460
148,1515,12,83,1099,416,472,0,0,0,0,446,460
149,1519,12,83,1139,380,425,0,0,125,0,409,405
150,1518,13,80,1149,369,432,0,0,42,0,405,416
151,1501,11,80,1119,382,420,0,0,90,0,411,390
152,1513,9,117,1154,359,399,0,0,175,0,376,388
153,1493,14,117,1035,458,516,0,0,0,0,496,485
154,1506,19,72,1017,489,544,0,0,0,0,538,511
155,1521,15,93,1074,447,524,0,0,0,0,492,501
156,1511,9,106,1165,346,397,0,0,131,0,375,375
157,1519,12,106,1115,404,477,0,0,73,0,439,464
158,1501,11,82,1111,390,429,0,0,105,0,421,398
159,1510,14,90,1058,452,514,0,0,0,0,485,493
160,1518,13,129,1086,432,499,0,0,15,0,472,474
161,1513,14,129,1089,424,491,0,0,107,0,458,491
162,1515,8,111,1175,340,373,0,0,127,16,359,363
163,1509,11,111,1115,394,437,0,0,0,77,430,413
164,1509,8,108,1125,384,412,0,0,108,0,404,383
165,1502,11,69,1133,369,405,0,0,83,0,396,380
166,1514,6,85,1223,291,321,0,0,56,127,311,308
167,1523,6,100,1216,307,347,0,0,73,72,319,335
168,1497,14,74,1046,451,514,0,0,0,0,489,490
169,1505,19,74,1012,493,590,0,0,0,0,554,548
170,1502,14,97,1083,419,480,0,0,0,62,458,453
171,1522,12,97,1132,390,476,0,0,0,82,421,463
172,1507,9,104,1120,387,452,0,0,0,108,421,429
173,1518,17,104,1045,473,548,0,0,0,0,516,529
174,1506,9,74,1145,361,422,0,0,0,118,399,392
175,1512,8,94,1207,305,326,0,0,0,194,321,300
176,1511,7,87,1239,272,302,0,0,82,98,286,294
177,1498,8,87,1160,338,362,0,0,75,69,352,338
178,1518,9,82,1131,387,447,0,0,0,99,424,426
179,1513,15,82,1075,438,496,0,0,0,0,477,471
180,1510,13,105,1060,450,524,0,0,0,0,491,490
181,1501,10,108,1128,373,419,0,0,109,0,395,413
182,1509,13,96,1099,410,454,0,0,80,0,440,414
183,1524,9,96,1180,344,410,0,0,112,0,369,406
184,1495,9,121,1096,399,439,0,0,0,107,423,407
185,1524,11,107,1132,392,445,0,0,0,111,410,432
186,1493,8,100,1144,349,370,0,0,104,68,364,332
187,1513,4,121,1260,253,282,0,0,70,160,260,277
188,1525,7,108,1196,329,386,0,0,120,36,353,379
189,1495,5,108,1191,304,328,0,0,66,98,320,295
190,1497,15,101,1029,468,521,0,0,0,31,508,483
191,1521,10,101,1111,410,475,0,0,61,0,441,453
192,1506,9,83,1188,318,340,0,0,98,108,328,333
193,1495,11,83,1061,434,490,0,0,0,0,476,464
194,1511,10,129,1079,432,489,0,0,0,37,466,462
195,1514,6,129,1199,315,343,0,0,132,53,329,337
196,1501,14,94,1057,444,500,0,0,0,32,481,484
197,1501,11,94,1094,407,448,0,0,0,84,447,419
198,1516,7,93,1196,320,348,0,0,116,56,331,333
199,1524,10,94,1102,422,489,0,0,0,71,446,471
200,1513,10,96,1150,363,410,0,0,88,0,396,390
201,1498,9,96,1143,355,391,0,0,85,0,374,362
202,1512,19,55,1076,436,494,0,0,0,0,476,465
203,1514,12,68,1149,365,414,0,0,72,0,385,408
204,1523,18,87,1063,460,536,0,0,0,0,508,521
205,1504,11,67,1141,363,405,0,0,109,0,392,386
206,1524,9,74,1165,359,425,0,0,69,0,390,391
207,1507,11,67,1133,374,405,0,0,115,0,400,378
208,1506,9,91,1121,385,423,0,0,97,0,405,404
209,1516,10,91,1157,359,406,0,0,92,0,383,402
210,1508,16,87,1038,470,518,0,0,0,0,498,491
211,1519,12,84,1136,383,436,0,0,74,0,409,420
212,1513,10,88,1166,347,379,0,0,81,0,366,366
213,1488,10,98,1087,401,447,0,0,67,0,437,416
214,1515,15,98,1035,480,544,0,0,22,0,525,518
215,1524,10,89,1168,356,415,0,0,85,0,384,399
216,1515,16,86,1052,463,528,0,0,0,0,503,505
217,1497,17,86,1032,465,542,0,0,0,0,517,513
218,1508,18,70,1039,469,540,0,0,0,0,521,515
219,1519,16,66,1073,446,528,0,0,0,0,488,517
220,1525,10,100,1175,350,420,0,0,82,0,375,403
221,1505,14,100,1088,417,459,0,0,31,0,449,429
222,1503,10,84,1107,396,430,0,0,106,0,416,396
223,1506,11,89,1124,382,442,0,0,104,0,413,402
224,1510,14,100,1069,441,507,0,0,59,0,480,495
225,1492,9,85,1132,360,385,0,0,103,0,378,359
226,1507,20,100,1015,492,560,0,0,0,0,545,531
227,1499,12,80,1093,406,451,0,0,0,51,426,430
228,1515,10,136,1171,344,384,0,0,0,94,364,377
229,1517,9,136,1175,342,382,0,0,163,45,363,366
230,1511,10,95,1143,368,420,0,0,110,0,396,391
231,1494,8,95,1156,338,362,0,0,59,81,352,331
232,1515,8,126,1143,372,425,0,0,0,115,397,408
233,1515,10,126,1152,363,417,0,0,0,141,385,405
234,1513,5,107,1279,234,256,0,0,85,183,243,246
235,1489,7,107,1128,361,384,0,0,76,28,374,352
236,1510,13,90,1063,447,488,0,0,0,56,472,462
237,1525,10,95,1104,421,495,0,0,53,0,465,470
238,1508,9,95,1163,345,388,0,0,199,49,362,376
239,1492,9,88,1142,350,383,0,0,29,108,368,355
240,1521,15,74,1092,429,497,0,0,0,65,469,477
241,1511,12,86,1126,385,421,0,0,0,81,411,398
242,1504,16,113,1055,449,526,0,0,0,0,495,496
243,1525,19,113,1012,513,596,0,0,0,0,561,563
244,1502,14,103,1031,471,551,0,0,0,7,528,504
245,1524,15,71,1098,426,505,0,0,0,79,463,490
246,1487,9,112,1141,346,379,0,0,0,143,367,352
247,1525,8,112,1194,331,386,0,0,0,168,356,367
248,1504,10,93,1085,419,458,0,0,0,98,450,433
249,1525,8,93,1215,310,358,0,0,64,76,334,354
250,1507,13,86,1132,375,423,0,0,125,0,410,407
251,1514,6,91,1214,300,335,0,0,115,52,320,323
252,1495,12,110,1047,448,492,0,0,0,0,484,456
253,1513,12,110,1102,411,478,0,0,30,0,446,476
254,1515,11,99,1128,387,451,0,0,101,0,415,434
255,1524,11,81,1157,367,428,0,0,82,0,396,403
