partition,elements,neighboring_ranks,max_mpi_faces_per_neighboring_rank,interior_elements,mpi_elements,mpi_faces,mpi_dr_faces,dynamic_rupture_faces,free_surface_faces,transparent_faces,mpi_copy_elements,mpi_ghost_elements
136,763,11,84,521,242,287,0,0,47,0,267,276
137,746,11,84,482,264,301,0,0,39,0,291,272
138,753,12,49,529,224,265,0,0,79,0,252,248
139,760,15,45,482,278,324,0,0,0,0,305,323
140,762,14,53,478,284,318,0,0,0,0,307,305
141,754,10,53,535,219,239,0,0,65,0,232,231
142,755,12,54,526,229,266,0,0,70,0,254,260
143,756,10,69,525,231,271,0,0,55,0,257,260
144,753,8,51,535,218,257,0,0,0,79,234,243
145,761,13,51,510,251,300,0,0,0,38,283,291
146,756,11,77,544,212,249,0,0,0,79,232,243
147,748,15,77,474,274,324,0,0,0,0,316,312
148,756,6,54,594,162,178,0,0,0,140,171,172
149,749,12,54,476,273,312,0,0,0,42,303,284
150,751,10,73,487,264,294,0,0,0,30,282,285
151,762,11,73,532,230,271,0,0,0,81,254,258
152,755,15,46,486,269,320,0,0,0,0,306,296
153,755,15,41,487,268,296,0,0,0,0,287,282
154,763,11,83,494,269,317,0,0,51,0,305,315
155,745,14,83,461,284,316,0,0,0,0,312,296
156,755,16,46,478,277,322,0,0,0,0,304,310
157,751,13,46,471,280,324,0,0,0,0,308,311
158,755,18,48,473,282,322,0,0,0,0,309,302
159,753,15,50,459,294,340,0,0,0,0,331,330
160,749,9,80,483,266,309,0,0,37,0,292,288
161,756,16,58,453,303,364,0,0,0,0,346,337
162,758,7,80,574,184,213,0,0,55,90,198,192
163,758,11,53,537,221,252,0,0,0,76,238,244
164,755,13,54,483,272,320,0,0,0,0,307,306
165,763,11,52,552,211,249,0,0,0,81,232,244
166,756,11,56,524,232,264,0,0,0,78,253,245
167,756,15,56,467,289,343,0,0,0,29,323,328
168,746,12,45,496,250,304,0,0,0,0,286,282
169,745,8,51,505,240,281,0,0,77,0,260,254
170,761,7,69,583,178,207,0,0,82,55,196,195
171,762,12,69,516,246,291,0,0,0,49,270,264
172,752,10,44,518,234,269,0,0,67,0,257,259
173,751,14,54,476,275,318,0,0,0,0,302,291
174,762,10,43,534,228,275,0,0,85,0,250,268
175,758,10,54,497,261,299,0,0,27,0,284,285
176,754,6,70,570,184,209,0,0,0,119,194,188
177,762,8,64,544,218,256,0,0,0,62,239,248
178,755,6,64,574,181,218,0,0,76,28,196,203
179,759,7,70,580,179,215,0,0,64,89,198,190
180,761,14,53,470,291,336,0,0,0,2,313,320
181,752,11,52,500,252,297,0,0,0,39,281,281
182,746,9,75,510,236,261,0,0,0,37,252,237
183,754,7,75,542,212,240,0,0,69,31,223,234
184,758,9,57,528,230,254,0,0,15,65,247,241
185,761,15,57,499,262,308,0,0,0,32,287,283
186,761,11,55,535,226,266,0,0,60,0,251,253
187,750,9,55,533,217,251,0,0,71,0,236,238
188,757,12,41,518,239,281,0,0,33,0,267,265
189,758,18,49,487,271,322,0,0,0,0,308,308
190,759,9,59,556,203,231,0,0,81,0,218,226
191,757,14,59,478,279,320,0,0,0,0,307,304
192,762,6,69,592,170,193,0,0,65,88,178,181
193,745,12,69,457,288,326,0,0,19,3,315,299
194,760,12,64,521,239,275,0,0,75,0,263,266
195,757,11,64,504,253,286,0,0,0,0,272,278
196,762,6,68,583,179,222,0,0,51,53,198,212
197,749,9,68,518,231,258,0,0,72,0,248,243
198,754,11,67,489,265,293,0,0,0,51,278,272
199,751,15,62,476,275,313,0,0,0,17,300,297
200,762,16,62,471,291,354,0,0,0,0,327,340
201,748,12,62,477,271,312,0,0,0,22,302,287
202,751,21,48,445,306,348,0,0,0,0,341,334
203,755,9,46,548,207,243,0,0,0,95,228,227
204,753,11,53,526,227,261,0,0,39,0,255,247
205,756,11,54,523,233,276,0,0,0,44,253,272
206,756,8,62,545,211,230,0,0,46,42,224,220
207,763,12,62,509,254,299,0,0,37,0,281,297
208,757,11,51,503,254,302,0,0,0,0,284,297
209,751,11,44,545,206,233,0,0,93,0,221,228
210,762,13,51,502,260,304,0,0,0,0,288,293
211,758,13,51,525,233,270,0,0,108,0,251,256
212,754,10,50,525,229,247,0,0,65,0,240,235
213,753,14,53,502,251,295,0,0,41,0,289,268
214,753,18,65,459,294,350,0,0,0,0,332,334
215,758,15,65,460,298,342,0,0,0,0,329,326
216,762,12,57,511,251,302,0,0,28,0,269,283
217,763,14,57,508,255,319,0,0,27,0,295,311
218,745,9,69,455,290,333,0,0,31,0,316,303
219,752,12,57,530,222,256,0,0,76,0,245,248
220,755,16,52,452,303,354,0,0,0,0,340,328
221,755,16,52,485,270,328,0,0,0,0,319,307
222,748,15,49,485,263,318,0,0,0,0,307,300
223,762,15,69,479,283,338,0,0,0,0,319,328
224,764,8,80,513,251,288,0,0,0,66,272,268
225,743,10,80,510,233,268,0,0,0,66,252,257
226,760,15,48,481,279,318,0,0,0,0,307,309
227,760,16,42,472,288,340,0,0,0,0,314,333
228,754,17,64,470,284,346,0,0,0,0,328,330
229,752,17,64,471,281,330,0,0,0,0,314,306
230,757,20,43,460,297,344,0,0,0,0,333,320
231,752,13,58,508,244,289,0,0,0,29,271,278
232,755,16,51,481,274,324,0,0,0,0,306,307
233,762,17,40,494,268,318,0,0,0,0,302,305
234,749,18,44,477,272,320,0,0,0,0,306,296
235,756,20,49,475,281,344,0,0,0,0,323,329
236,743,15,48,472,271,322,0,0,0,0,305,301
237,754,13,41,534,220,254,0,0,44,0,249,240
238,761,14,48,495,266,318,0,0,0,0,294,318
239,743,14,51,457,286,328,0,0,0,0,324,309
240,753,10,56,535,218,242,0,0,66,0,232,232
241,747,12,57,514,233,264,0,0,46,0,256,252
242,749,15,80,469,280,310,0,0,0,0,296,294
243,762,12,70,476,286,346,0,0,0,0,333,326
244,744,11,76,471,273,330,0,0,0,0,305,298
245,762,19,71,473,289,340,0,0,0,0,315,324
246,762,12,76,490,272,333,0,0,31,0,310,302
247,752,11,56,516,236,271,0,0,89,0,253,266
248,756,12,80,482,274,308,0,0,0,0,297,295
249,756,9,80,517,239,281,0,0,75,0,262,277
250,752,7,74,530,222,263,0,0,91,0,245,240
251,756,17,74,453,303,358,0,0,0,0,344,340
252,758,12,50,496,262,302,0,0,4,0,278,292
253,750,13,52,528,222,254,0,0,104,0,247,238
254,753,12,57,504,249,284,0,0,96,0,280,267
255,761,17,57,507,254,302,0,0,0,0,281,284
256,761,15,72,463,298,364,0,0,0,0,335,339
257,747,12,72,494,253,304,0,0,0,0,288,286
258,760,12,48,533,227,255,0,0,103,0,244,245
259,756,10,58,530,226,261,0,0,103,0,248,252
260,758,19,57,438,320,370,0,0,0,0,354,361
261,757,11,57,494,263,308,0,0,0,0,287,286
262,758,12,65,530,228,267,0,0,113,0,253,261
263,743,12,65,471,272,318,0,0,0,0,305,301
264,755,8,55,567,188,215,0,0,22,71,202,203
265,761,12,55,489,272,308,0,0,0,8,299,278
266,749,7,58,545,204,229,0,0,65,50,222,210
267,758,8,57,546,212,239,0,0,2,71,225,234
268,755,14,56,495,260,304,0,0,0,44,289,292
269,759,9,56,535,224,266,0,0,0,50,247,259
270,756,16,57,487,269,328,0,0,0,0,321,312
271,750,11,53,524,226,260,0,0,0,56,248,249
272,760,7,73,534,226,248,0,0,0,56,236,240
273,758,9,62,494,264,300,0,0,0,36,277,291
274,753,11,70,487,266,309,0,0,23,32,293,275
275,756,7,70,568,188,209,0,0,81,42,198,202
276,759,11,67,552,207,246,0,0,114,0,227,240
277,749,14,67,468,281,336,0,0,6,0,323,305
278,759,11,54,545,214,237,0,0,65,0,223,230
279,748,14,54,471,277,308,0,0,0,0,300,291
280,756,12,73,528,228,261,0,0,0,89,248,238
281,762,13,67,487,275,332,0,0,0,14,299,321
282,756,9,73,554,202,248,0,0,0,116,221,241
283,749,9,73,472,277,303,0,0,0,31,295,280
284,763,9,68,511,252,285,0,0,45,0,269,271
285,747,12,68,514,233,271,0,0,59,0,259,246
286,759,6,60,579,180,206,0,0,80,38,190,203
287,753,5,60,593,160,177,0,0,58,123,173,161
288,762,13,74,520,242,297,0,0,71,0,277,286
289,743,12,74,465,278,322,0,0,14,0,308,298
290,761,14,76,473,288,340,0,0,0,0,322,311
291,755,12,76,516,239,295,0,0,83,0,267,283
292,759,16,62,481,278,320,0,0,0,0,305,301
293,761,16,59,474,287,332,0,0,0,0,319,310
294,751,13,38,503,248,292,0,0,0,0,273,278
295,758,20,62,480,278,332,0,0,0,0,310,322
296,754,17,50,473,281,334,0,0,0,0,316,314
297,762,13,50,475,287,340,0,0,0,0,322,323
298,746,13,58,495,251,278,0,0,52,0,267,257
299,763,11,60,510,253,302,0,0,38,0,278,300
300,762,16,71,468,294,350,0,0,0,0,328,334
301,743,13,71,473,270,326,0,0,0,0,312,308
302,757,9,86,538,219,252,0,0,94,0,238,246
303,761,13,86,453,308,348,0,0,26,0,337,333
304,762,11,53,506,256,313,0,0,0,51,286,304
305,762,9,53,565,197,221,0,0,0,109,212,209
306,743,7,60,535,208,236,0,0,0,96,231,214
307,762,12,60,477,285,327,0,0,0,25,308,316
308,745,14,58,498,247,290,0,0,0,32,275,267
309,753,10,53,545,208,232,0,0,0,86,227,214
310,755,14,48,478,277,320,0,0,0,0,307,305
311,756,14,55,472,284,324,0,0,0,0,318,311
312,762,5,63,587,175,200,0,0,56,64,179,184
313,761,11,57,517,244,276,0,0,52,0,261,261
314,755,6,59,555,200,213,0,0,66,63,206,195
315,749,12,59,478,271,303,0,0,0,29,298,285
316,744,14,67,489,255,300,0,0,0,36,278,284
317,756,12,67,500,256,312,0,0,0,18,289,295
318,748,14,58,485,263,302,0,0,0,40,287,281
319,756,12,40,515,241,273,0,0,0,45,266,253
320,746,12,52,472,274,328,0,0,0,0,310,308
321,760,10,51,512,248,298,0,0,56,0,281,280
322,762,12,70,507,255,291,0,0,0,39,278,272
323,751,7,70,577,174,199,0,0,79,50,189,193
324,746,8,54,555,191,214,0,0,66,64,201,199
325,741,9,56,522,219,253,0,0,0,59,244,240
326,758,11,56,492,266,318,0,0,0,0,302,304
327,758,11,53,530,228,276,0,0,78,0,260,272
328,759,11,56,514,245,286,0,0,0,44,268,278
329,749,11,48,484,265,310,0,0,0,0,296,293
330,761,15,53,482,279,324,0,0,0,0,306,309
331,760,11,53,518,242,285,0,0,0,77,268,279
332,761,11,61,482,279,322,0,0,0,0,306,311
333,755,15,61,471,284,320,0,0,0,0,312,303
334,756,10,52,523,233,263,0,0,97,0,255,244
335,748,14,52,472,276,316,0,0,0,0,310,299
336,746,16,52,478,268,312,0,0,0,0,299,299
337,762,14,38,518,244,292,0,0,0,30,279,277
338,762,9,85,514,248,281,0,0,60,5,264,271
339,750,8,85,550,200,222,0,0,21,89,218,207
340,762,8,66,581,181,217,0,0,103,38,206,211
341,757,9,66,547,210,226,0,0,0,44,216,223
342,763,12,55,535,228,268,0,0,76,0,250,247
343,746,13,60,481,265,297,0,0,31,0,292,275
344,762,16,58,480,282,334,0,0,0,0,314,324
345,756,15,60,485,271,314,0,0,0,0,305,305
346,755,10,47,530,225,259,0,0,69,0,243,251
347,752,12,47,509,243,270,0,0,84,0,259,255
348,756,18,58,481,275,326,0,0,0,0,312,312
349,759,14,58,467,292,354,0,0,0,0,334,352
350,739,10,68,502,237,277,0,0,33,0,266,253
351,758,11,75,495,263,306,0,0,34,0,292,288
352,749,17,73,435,314,380,0,0,0,0,369,360
353,761,12,56,508,253,300,0,0,0,0,277,292
354,755,15,54,477,278,318,0,0,0,0,304,305
355,756,14,73,484,272,322,0,0,0,0,305,311
356,751,8,60,526,225,267,0,0,71,0,244,244
357,754,12,60,512,242,273,0,0,49,0,263,248
358,754,11,73,522,232,275,0,0,63,0,254,257
359,762,13,73,499,263,322,0,0,42,0,296,303
360,757,10,77,510,247,277,0,0,71,0,261,256
361,746,14,52,452,294,342,0,0,0,0,329,333
362,757,12,77,514,243,280,0,0,64,0,263,267
363,754,13,75,488,266,316,0,0,20,0,301,301
364,756,16,58,489,267,306,0,0,0,0,290,296
365,757,16,44,473,284,332,0,0,0,0,321,315
366,749,14,60,465,284,310,0,0,0,0,304,298
367,754,14,57,497,257,304,0,0,0,0,283,300
368,747,13,54,497,250,296,0,0,0,0,281,273
369,758,10,53,528,230,279,0,0,57,0,255,268
370,761,11,52,534,227,266,0,0,68,0,252,247
371,754,10,55,518,236,279,0,0,57,0,262,256
372,751,13,69,477,274,311,0,0,17,0,300,291
373,762,13,69,482,280,316,0,0,0,0,298,304
374,762,21,61,456,306,394,0,0,0,0,364,376
375,756,16,61,465,291,336,0,0,0,0,318,318
376,762,18,64,483,279,328,0,0,0,0,308,315
377,750,19,64,461,289,360,0,0,0,0,334,341
378,759,18,53,473,286,344,0,0,0,0,327,324
379,755,14,66,454,301,354,0,0,0,0,341,322
380,750,10,60,480,270,299,0,0,37,0,298,271
381,762,10,55,522,240,266,0,0,60,0,251,257
382,748,8,66,538,210,252,0,0,64,0,233,251
383,761,13,44,513,248,291,0,0,47,0,274,269
384,745,9,59,518,227,263,0,0,0,101,245,245
385,756,8,56,564,192,223,0,0,0,91,214,220
386,741,12,58,497,244,281,0,0,0,65,272,262
387,762,12,59,476,286,334,0,0,0,12,308,316
388,757,4,63,565,192,204,0,0,45,45,202,200
389,755,8,63,539,216,240,0,0,30,40,237,229
390,746,9,59,502,244,266,0,0,0,24,260,252
391,755,7,59,587,168,185,0,0,91,100,178,182
392,753,9,76,523,230,262,0,0,0,56,248,243
393,757,9,76,503,254,306,0,0,0,24,280,298
394,760,11,47,547,213,247,0,0,84,13,230,244
395,755,7,66,558,197,222,0,0,103,39,208,213
396,750,17,39,488,262,314,0,0,0,0,302,294
397,746,15,68,451,295,340,0,0,0,0,328,309
398,756,14,68,483,273,308,0,0,0,0,293,301
399,750,13,64,512,238,278,0,0,78,0,260,269
400,753,7,46,574,179,193,0,0,58,39,185,185
401,759,11,50,516,243,285,0,0,0,53,266,278
402,741,15,78,477,264,303,0,0,35,0,293,276
403,760,11,78,528,232,264,0,0,50,0,252,255
404,761,10,66,536,225,265,0,0,57,0,245,255
405,748,7,77,539,209,250,0,0,90,44,231,235
406,750,7,77,509,241,263,0,0,0,49,256,248
407,763,13,55,476,287,349,0,0,0,15,326,337
408,758,10,44,534,224,270,0,0,0,52,250,265
409,756,18,39,463,293,342,0,0,0,0,331,325
410,760,16,58,474,286,336,0,0,0,0,313,322
411,748,13,54,486,262,314,0,0,0,0,293,294
412,747,14,50,462,285,326,0,0,0,0,310,308
413,742,13,49,495,247,284,0,0,0,0,280,260
414,751,12,57,513,238,259,0,0,91,0,259,232
415,760,12,56,511,249,302,0,0,80,0,287,297
416,753,15,56,475,278,322,0,0,0,0,307,305
417,752,17,58,443,309,358,0,0,0,0,347,335
418,765,14,87,469,296,362,0,0,0,0,332,346
419,757,12,87,507,250,289,0,0,51,0,264,274
420,752,10,60,539,213,250,0,0,82,0,239,243
421,748,13,72,484,264,293,0,0,49,0,287,280
422,761,12,58,485,276,342,0,0,0,0,314,320
423,749,13,72,478,271,322,0,0,0,0,300,299
424,747,9,59,519,228,258,0,0,106,0,248,242
425,757,12,50,527,230,264,0,0,42,0,252,253
426,750,11,83,498,252,310,0,0,0,0,287,284
427,761,13,53,497,264,310,0,0,0,0,288,301
428,753,13,56,487,266,300,0,0,30,0,294,280
429,755,18,54,459,296,346,0,0,0,0,334,322
430,761,12,65,516,245,296,0,0,20,0,272,273
431,759,9,65,542,217,251,0,0,87,0,233,244
432,754,5,72,574,180,204,0,0,0,112,193,204
433,752,10,68,508,244,267,0,0,0,75,264,253
434,755,12,47,552,203,224,0,0,0,74,219,210
435,748,11,72,511,237,261,0,0,0,87,258,252
436,757,19,52,489,268,312,0,0,0,0,295,303
437,749,16,52,480,269,322,0,0,0,0,305,309
438,756,12,56,508,248,290,0,0,0,38,272,278
439,762,13,56,538,224,265,0,0,0,41,249,247
440,760,17,45,455,305,352,0,0,0,0,344,335
441,757,11,44,557,200,229,0,0,0,59,222,219
442,742,14,55,490,252,298,0,0,12,0,284,277
443,762,7,55,578,184,207,0,0,65,36,195,195
444,763,18,59,491,272,332,0,0,0,0,303,312
445,747,10,59,525,222,258,0,0,0,76,248,241
446,752,6,67,550,202,213,0,0,58,65,210,200
447,755,10,67,528,227,261,0,0,41,0,252,252
448,763,17,66,492,271,330,0,0,0,0,311,325
449,750,12,66,466,284,330,0,0,0,0,313,307
450,762,13,68,503,259,310,0,0,0,0,292,300
451,746,11,68,497,249,279,0,0,101,0,270,263
452,765,15,68,490,275,328,0,0,16,0,303,307
453,750,8,68,536,214,249,0,0,93,0,231,235
454,761,12,38,506,255,291,0,0,23,0,277,276
455,744,12,66,514,230,259,0,0,75,0,254,243
456,754,14,71,480,274,324,0,0,0,0,305,303
457,762,14,65,473,289,352,0,0,0,0,329,338
458,751,10,66,522,229,253,0,0,63,0,246,231
459,752,12,71,505,247,282,0,0,90,0,270,271
460,752,18,68,455,297,364,0,0,0,0,339,323
461,756,15,68,485,271,318,0,0,0,0,295,300
462,755,16,53,469,286,316,0,0,0,0,312,290
463,753,16,53,488,265,330,0,0,0,0,291,321
464,750,12,65,522,228,262,0,0,0,52,246,259
465,756,17,65,463,293,342,0,0,0,0,330,324
466,756,21,49,450,306,380,0,0,0,0,353,359
467,755,12,56,488,267,299,0,0,0,7,295,275
468,762,16,66,489,273,332,0,0,0,0,306,319
469,754,13,66,480,274,300,0,0,0,0,297,286
470,754,17,48,483,271,328,0,0,0,0,307,311
471,746,15,40,495,251,298,0,0,0,0,279,286
472,750,9,52,531,219,244,0,0,38,0,239,228
473,749,12,53,489,260,304,0,0,34,0,294,287
474,744,13,64,468,276,322,0,0,0,0,310,299
475,756,10,64,548,208,250,0,0,72,0,228,247
476,761,15,64,491,270,328,0,0,0,0,302,307
477,750,10,53,521,229,270,0,0,76,0,251,263
478,761,14,75,535,226,258,0,0,72,0,250,245
479,742,15,75,440,302,342,0,0,0,0,335,315
480,749,10,73,520,229,265,0,0,0,49,250,263
481,751,7,73,570,181,197,0,0,96,51,189,191
482,746,13,49,460,286,327,0,0,0,29,321,304
483,754,10,62,509,245,270,0,0,0,50,264,258
484,762,12,53,538,224,253,0,0,0,63,237,248
485,745,9,53,528,217,237,0,0,49,22,235,222
486,750,13,60,487,263,312,0,0,24,0,293,300
487,758,5,60,582,176,193,0,0,50,51,183,186
488,746,12,58,486,260,306,0,0,0,0,288,293
489,762,10,58,510,252,283,0,0,65,0,274,271
490,751,13,62,477,274,326,0,0,0,0,307,311
491,754,17,62,479,275,318,0,0,0,0,306,292
492,758,11,62,505,253,290,0,0,36,0,273,275
493,760,9,62,519,241,285,0,0,25,0,263,275
494,760,14,51,497,263,313,0,0,15,0,302,285
495,755,10,51,550,205,237,0,0,101,0,219,230
496,751,12,48,507,244,277,0,0,0,31,260,272
497,759,12,56,521,238,285,0,0,0,53,267,282
498,756,9,43,547,209,241,0,0,0,103,225,230
499,746,14,56,477,269,308,0,0,0,6,292,290
500,752,12,41,501,251,279,0,0,0,33,274,267
501,758,9,58,523,235,272,0,0,0,64,254,258
502,763,8,45,580,183,215,0,0,48,37,198,210
503,747,6,51,567,180,194,0,0,68,56,190,184
504,762,9,51,508,254,296,0,0,38,0,276,286
505,751,7,43,547,204,227,0,0,99,0,220,224
506,752,8,55,526,226,253,0,0,91,0,252,234
507,746,13,55,471,275,318,0,0,0,0,305,302
508,756,10,48,538,218,247,0,0,65,0,241,243
509,751,16,52,474,277,326,0,0,0,0,316,312
510,752,15,52,451,301,342,0,0,0,0,325,320
511,756,15,52,487,269,322,0,0,0,0,311,303
