partition,elements,neighboring_ranks,max_mpi_faces_per_neighboring_rank),interior_elements,mpi_elements,mpi_faces,mpi_dr_faces,dynamic_rupture_faces,free_surface_faces,transparent_faces
6153,20740,15,444,18241,2499,3184,0,0,0,0
6154,20745,19,590,18062,2683,3356,0,0,0,0
6155,20742,15,598,18253,2489,3198,0,0,0,0
6156,20716,15,479,18213,2503,3194,0,0,0,0
6157,20651,11,449,18427,2224,2701,0,0,0,393
6158,20703,16,509,18043,2660,3278,0,0,0,0
6159,20763,13,457,18489,2274,2871,0,0,0,377
6160,20757,17,425,18327,2430,3132,0,0,0,0
6161,20768,14,416,18459,2309,2944,0,0,0,0
6162,20724,17,479,18054,2670,3402,0,0,0,0
6163,20739,15,425,18368,2371,3120,0,0,0,0
6164,20681,18,445,18184,2497,3106,0,0,0,0
6165,20711,14,461,18557,2154,2731,0,0,0,413
6166,20733,11,533,18643,2090,2578,0,0,0,436
6167,20843,10,562,18925,1918,2450,0,0,0,480
6168,20710,20,632,17974,2736,3474,0,0,0,0
6169,20857,16,632,18500,2357,3068,0,0,0,0
6170,20718,17,434,18306,2412,3146,0,0,0,0
6171,20559,16,621,18030,2529,3236,0,0,0,0
6172,20798,18,752,18153,2645,3398,0,0,0,0
6173,20798,16,752,18125,2673,3404,0,0,0,0
6174,20907,20,621,18508,2399,3130,0,0,0,0
6175,20903,17,440,18462,2441,3162,0,0,0,0
6176,20588,13,586,18201,2387,2953,0,0,0,245
6177,20770,10,586,18817,1953,2537,0,0,0,477
6178,20802,16,487,18348,2454,3096,0,0,0,0
6179,20778,18,487,18338,2440,3104,0,0,0,0
6180,20733,14,441,18323,2410,3094,0,0,0,0
6181,20836,11,624,18687,2149,2827,0,0,0,367
6182,20776,12,624,18613,2163,2778,0,0,0,394
6183,20649,15,488,18149,2500,3178,0,0,0,0
6184,20823,9,513,18876,1947,2521,0,0,0,593
6185,20807,17,459,18273,2534,3316,0,0,0,0
6186,20718,10,459,18669,2049,2606,0,0,0,362
6187,20727,12,474,18659,2068,2623,0,0,0,431
6188,20886,18,474,18499,2387,3172,0,0,0,0
6189,20760,12,447,18698,2062,2634,0,0,0,494
6190,20736,12,456,18462,2274,2951,0,0,0,289
6191,20751,13,456,18369,2382,3034,0,0,0,0
6192,20745,15,583,18085,2660,3438,0,0,0,0
6193,20756,10,583,18589,2167,2712,0,0,0,480
