Mon Apr 21 16:24:44, Info:  Using 1 threads 
Mon Apr 21 16:24:45, Info:  Mesh contains 12288 partitions 
Mon Apr 21 16:24:45, Info:  Min number of elements per partition: 14537 
Mon Apr 21 16:24:45, Info:  Avg number of elements per partition 15551.6 
Mon Apr 21 16:24:45, Info:  Max number of elements per partition 15715 
Mon Apr 21 16:24:45, Info:  Min number of MPI boundaries per partition: 3 
Mon Apr 21 16:24:45, Info:  Avg number of MPI boundaries per partition 13.7417 
Mon Apr 21 16:24:45, Info:  Max number of MPI boundaries per partition 34 
Mon Apr 21 16:24:45, Info:  Min number of MPI boundary faces per partition: 907 
Mon Apr 21 16:24:45, Info:  Avg number of MPI boundary faces per partition 2322.12 
Mon Apr 21 16:24:45, Info:  Max number of MPI boundary faces per partition 3252 
Mon Apr 21 16:24:45, Info:  printing statistics per partition. 
Mon Apr 21 16:24:45, Info:  dynamic rupture information is counted twice: as part of mpi_dr_faces and dynamic_rupture_faces. 
partition,#elements,#neighboring_ranks,max(#mpi_faces_per_neighboring_rank),#interior_elements,#mpi_elements,#mpi_faces,#mpi_dr_faces,#dynamic_rupture_faces,#free_surface_faces,#transparent_faces
330,15592,8,432,14199,1393,1550,0,0,886,0
331,15480,9,418,14099,1381,1518,0,0,844,0
332,15510,12,397,13876,1634,1831,0,0,791,0
333,15555,11,418,13801,1754,1955,0,0,611,0
334,15525,12,377,14089,1436,1611,0,0,833,0
335,15446,10,432,13962,1484,1640,0,0,852,0
336,15537,10,587,14062,1475,1679,0,0,1005,0
337,15385,16,587,13182,2203,2556,0,0,482,0
338,15560,18,428,13484,2076,2594,0,0,0,0
339,15481,10,511,13835,1646,1850,0,0,752,0
340,15502,8,487,13941,1561,1737,0,0,965,0
341,15508,8,487,14158,1350,1494,0,0,980,0
342,15413,8,387,13970,1443,1593,0,0,837,0
343,15532,9,388,13993,1539,1743,0,0,787,0
344,15490,15,388,13592,1898,2160,0,0,594,0
345,15582,18,329,13554,2028,2622,0,0,0,0
346,15566,20,485,13430,2136,2658,0,0,0,0
347,15550,14,485,13544,2006,2596,0,0,0,0
348,15565,16,509,13444,2121,2750,0,0,0,0
349,15495,16,423,13291,2204,2696,0,0,0,0
350,15529,16,453,13459,2070,2636,0,0,0,0
351,15535,15,513,13335,2200,2822,0,0,0,0
352,15495,16,513,13462,2033,2578,0,0,0,0
353,15592,16,416,13600,1992,2598,0,0,0,0
354,15523,22,367,13290,2233,2854,0,0,0,0
355,15527,13,366,13548,1979,2514,0,0,0,0
356,15657,13,372,13687,1970,2558,0,0,0,0
357,15582,18,405,13461,2121,2772,0,0,0,0
358,15554,17,600,13327,2227,2932,0,0,0,0
359,15551,14,600,13517,2034,2584,0,0,0,0
360,15487,15,351,13554,1933,2179,0,0,645,0
361,15549,10,314,14103,1446,1611,0,0,855,0
362,15584,6,351,14311,1273,1433,0,0,983,0
363,15623,11,385,14296,1327,1504,0,0,814,0
364,15472,13,467,13591,1881,2120,0,0,646,0
365,15579,8,467,14117,1462,1650,0,0,988,0
366,15518,18,472,13458,2060,2572,0,0,0,0
367,15539,11,383,13938,1601,1822,0,0,860,0
368,15602,9,449,14258,1344,1508,0,0,750,0
369,15604,8,264,14259,1345,1520,0,0,840,0
370,15546,7,381,14189,1357,1501,0,0,1057,0
371,15433,14,381,13505,1928,2211,0,0,441,0
372,15629,11,349,14077,1552,1769,0,0,907,0
373,15485,11,327,13589,1896,2150,0,0,550,0
374,15556,8,349,14157,1399,1521,0,0,919,0
375,15540,20,541,13282,2258,2874,0,0,0,0
376,15609,17,554,13601,2008,2578,0,0,0,0
377,15564,14,554,13498,2066,2542,0,0,0,0
378,15600,9,452,14250,1350,1528,0,0,898,0
379,15532,11,443,13945,1587,1746,0,0,794,0
380,15585,10,443,14138,1447,1640,0,0,844,0
381,15596,9,333,14247,1349,1527,0,0,913,0
382,15447,8,421,13990,1457,1618,0,0,944,0
383,15533,10,421,13956,1577,1744,0,0,858,0
384,15560,8,495,13905,1655,2135,0,0,0,433
385,15497,8,598,13891,1606,2037,0,0,0,357
386,15633,7,598,14330,1303,1704,0,0,0,852
387,15612,16,374,13734,1878,2446,0,0,0,0
388,15453,16,442,13454,1999,2500,0,0,0,0
389,15627,16,406,13660,1967,2551,0,0,0,155
390,15568,9,435,13937,1631,2084,0,0,0,434
391,15558,15,557,13572,1986,2630,0,0,0,0
392,15534,10,557,13796,1738,2228,0,0,0,306
393,15533,13,469,13550,1983,2630,0,0,0,0
394,15527,11,376,13981,1546,1918,0,0,0,526
395,15657,17,442,13615,2042,2650,0,0,0,190
396,15552,13,528,13515,2037,2630,0,0,0,0
397,15617,10,431,13995,1622,2113,0,0,0,429
398,15505,17,528,13398,2107,2670,0,0,0,0
399,15563,14,407,13477,2086,2714,0,0,0,0
400,15516,10,492,13943,1573,2008,0,0,0,342
401,15562,14,492,13565,1997,2590,0,0,0,0
402,15562,10,458,13885,1677,2122,0,0,0,298
403,15526,9,495,13956,1570,2073,0,0,0,545
404,15548,9,375,13970,1578,2021,0,0,0,613
405,15555,18,402,13495,2060,2602,0,0,0,0
406,15576,9,496,13929,1647,2110,0,0,0,386
407,15572,11,496,13542,2030,2620,0,0,0,132
408,15562,10,372,13814,1748,2195,0,0,0,277
409,15557,12,507,13920,1637,2126,0,0,0,534
410,15560,16,507,13538,2022,2674,0,0,0,0
411,15581,13,389,13776,1805,2382,0,0,0,202
412,15622,15,388,13543,2079,2708,0,0,0,0
413,15552,11,379,13790,1762,2276,0,0,0,288
414,15525,18,430,13360,2165,2728,0,0,0,0
415,15585,16,472,13671,1914,2570,0,0,0,0
416,15440,14,535,13322,2118,2554,0,0,0,0
417,15494,18,358,13403,2091,2694,0,0,0,0
418,15630,15,535,13565,2065,2676,0,0,0,0
419,15565,11,397,13583,1982,2550,0,0,0,0
420,15678,17,368,13558,2120,2812,0,0,0,0
421,15416,14,383,13329,2087,2540,0,0,0,0
422,15631,15,384,13729,1902,2560,0,0,0,0
423,15511,16,452,13489,2022,2684,0,0,0,0
424,15558,16,502,13570,1988,2596,0,0,0,0
425,15534,14,502,13480,2054,2648,0,0,0,0
426,15472,13,603,13674,1798,2296,0,0,0,524
427,15534,16,547,13486,2048,2648,0,0,0,0
428,15546,10,603,13754,1792,2292,0,0,0,292
429,15650,16,405,13686,1964,2574,0,0,0,0
430,15554,16,411,13665,1889,2476,0,0,0,0
431,15504,12,411,13720,1784,2243,0,0,0,281
432,15589,14,437,13611,1978,2512,0,0,0,0
433,15528,13,521,13564,1964,2366,0,0,0,218
434,15574,13,437,13938,1636,2101,0,0,0,461
435,15671,17,395,13629,2042,2660,0,0,0,0
