Mon Apr 21 16:19:16, Info:  Using 1 threads 
Mon Apr 21 16:19:16, Info:  Mesh contains 1024 partitions 
Mon Apr 21 16:19:16, Info:  Min number of elements per partition: 165715 
Mon Apr 21 16:19:16, Info:  Avg number of elements per partition 186620 
Mon Apr 21 16:19:16, Info:  Max number of elements per partition 187227 
Mon Apr 21 16:19:16, Info:  Min number of MPI boundaries per partition: 3 
Mon Apr 21 16:19:16, Info:  Avg number of MPI boundaries per partition 12.582 
Mon Apr 21 16:19:16, Info:  Max number of MPI boundaries per partition 23 
Mon Apr 21 16:19:16, Info:  Min number of MPI boundary faces per partition: 5242 
Mon Apr 21 16:19:16, Info:  Avg number of MPI boundary faces per partition 12533.2 
Mon Apr 21 16:19:16, Info:  Max number of MPI boundary faces per partition 18364 
Mon Apr 21 16:19:16, Info:  printing statistics per partition. 
Mon Apr 21 16:19:16, Info:  dynamic rupture information is counted twice: as part of mpi_dr_faces and dynamic_rupture_faces. 
partition,#elements,#neighboring_ranks,max(#mpi_faces_per_neighboring_rank),#interior_elements,#mpi_elements,#mpi_faces,#mpi_dr_faces,#dynamic_rupture_faces,#free_surface_faces,#transparent_faces
123,186794,10,1994,179113,7681,9193,0,0,8199,0
124,186623,10,2239,176588,10035,12431,0,0,2010,1501
125,186683,8,2412,178999,7684,9151,0,0,6108,1681
126,179819,4,2502,175263,4556,5432,0,0,7154,2640
127,186487,5,2502,178590,7897,9701,0,0,2084,3919
128,186827,12,2299,177038,9789,12601,0,0,0,1907
129,186776,17,2511,174772,12004,15214,0,0,0,0
130,186857,11,2156,178878,7979,9304,0,0,9756,0
131,186113,6,2156,180221,5892,7051,0,0,6977,2094
132,185697,10,2477,177733,7964,9665,0,0,7285,910
133,186762,13,2477,176196,10566,13204,0,0,0,1604
134,186452,12,2726,176269,10183,13294,0,0,0,1098
135,185008,6,2387,179402,5606,6766,0,0,8321,2339
136,186737,11,2702,177654,9083,10990,0,0,6848,0
137,186791,11,2702,178783,8008,9560,0,0,8542,0
138,186718,9,1940,178378,8340,10166,0,0,7514,0
139,186629,11,2310,178445,8184,9876,0,0,7030,0
140,186437,10,1676,178800,7637,9198,0,0,8296,0
141,185689,9,2131,178450,7239,8449,0,0,9981,0
142,186601,13,2368,177749,8852,10691,0,0,6457,0
143,186638,12,2368,177599,9039,11111,0,0,5719,0
144,186774,15,3236,175673,11101,14480,0,0,0,0
145,186751,16,3236,174291,12460,15720,0,0,0,0
146,186794,17,2555,175586,11208,14614,0,0,0,0
147,186844,17,2223,174492,12352,15570,0,0,0,0
148,186798,20,2021,175443,11355,14754,0,0,0,0
149,186769,13,2405,175081,11688,15156,0,0,0,508
150,186949,15,4034,175214,11735,14927,0,0,0,791
151,186949,12,4034,175840,11109,14105,0,0,0,1043
152,186786,17,2331,175202,11584,15018,0,0,0,0
153,186712,13,2726,174984,11728,15275,0,0,0,931
154,186843,10,2723,177478,9365,11883,0,0,0,2141
155,186913,13,2500,174211,12702,16090,0,0,0,182
156,186976,12,2331,176258,10718,13499,0,0,0,1193
157,186885,8,2723,179513,7372,9414,0,0,0,4404
158,186855,11,2589,176107,10748,13818,0,0,0,1298
159,186895,18,2589,174655,12240,15522,0,0,0,0
160,186953,8,2146,178916,8037,10302,0,0,0,3112
161,186924,10,2335,177497,9427,12003,0,0,0,2431
162,186966,10,1614,179338,7628,9781,0,0,0,3725
163,186896,14,3338,176915,9981,12913,0,0,0,1903
164,187110,12,3279,177392,9718,12576,0,0,0,2420
165,186781,14,3279,174960,11821,15018,0,0,0,742
166,186874,13,3003,175581,11293,14524,0,0,0,0
167,186984,15,3003,174988,11996,15310,0,0,0,0
168,184020,8,3364,176776,7244,9660,0,0,0,4348
169,186343,10,3364,177528,8815,12055,0,0,0,2261
170,185229,11,2914,174297,10932,14132,0,0,0,0
171,186728,13,3338,176101,10627,13737,0,0,0,2103
172,187027,12,3021,177531,9496,12309,0,0,0,1801
173,186807,13,3021,176546,10261,13011,0,0,0,2755
174,186883,17,2288,174477,12406,15894,0,0,0,0
175,186876,13,2289,175021,11855,15714,0,0,0,0
176,186627,15,2443,176516,10111,12830,0,0,0,1264
177,186623,11,2443,177077,9546,12998,0,0,0,1960
178,186362,7,2186,179491,6871,8397,0,0,5708,1925
179,186523,12,2186,175722,10801,13266,0,0,4162,0
180,186828,13,2537,176191,10637,13055,0,0,3303,0
181,186625,8,2537,178695,7930,9365,0,0,8817,0
182,186673,16,2555,175112,11561,14910,0,0,0,0
183,186796,16,2522,174918,11878,15634,0,0,0,0
184,186869,13,2533,175692,11177,13940,0,0,2686,0
185,186835,17,2182,175524,11311,15024,0,0,0,0
186,186793,13,3594,175685,11108,14301,0,0,0,1193
187,186784,12,3594,175874,10910,14499,0,0,0,825
188,186550,6,1707,180783,5767,6986,0,0,7973,2103
189,186661,6,2125,179824,6837,8115,0,0,7926,1235
190,186784,9,2171,180275,6509,7572,0,0,10000,0
191,186588,10,1617,178420,8168,9771,0,0,7353,0
192,186581,10,2313,175868,10713,13319,0,0,2629,0
193,186821,11,2435,177527,9294,10914,0,0,8564,0
194,182796,10,2001,174652,8144,9753,0,0,7659,0
195,186698,12,2435,177829,8869,10726,0,0,6356,0
196,186700,18,2850,174580,12120,15312,0,0,0,0
197,186802,16,2850,175041,11761,15474,0,0,0,0
198,186850,17,2161,174863,11987,15402,0,0,0,0
199,183908,11,2161,174661,9247,11372,0,0,4860,0
200,186786,11,1287,179395,7391,8523,0,0,9565,0
201,186738,19,2373,174406,12332,15830,0,0,0,0
202,187024,10,2646,178195,8829,10547,0,0,7393,0
203,186861,10,2646,178138,8723,10495,0,0,7195,0
204,186659,16,2710,174451,12208,15805,0,0,913,0
205,186783,15,2710,175316,11467,14728,0,0,0,0
206,186678,11,1363,179021,7657,8972,0,0,9670,0
207,186662,8,1848,179590,7072,8089,0,0,10033,0
208,186852,17,2878,175548,11304,14788,0,0,0,0
209,186775,17,2878,174718,12057,15412,0,0,0,0
210,186789,17,3407,175043,11746,16210,0,0,0,0
211,186850,14,3407,175254,11596,15004,0,0,0,0
212,186761,12,2377,176995,9766,12045,0,0,4847,0
213,186856,9,2377,179120,7736,9277,0,0,8113,0
214,186777,15,1732,176718,10059,12328,0,0,5804,0
215,186803,10,2362,178424,8379,9944,0,0,7882,0
216,186685,18,2370,174908,11777,14962,0,0,0,0
217,186756,17,2370,174802,11954,15312,0,0,0,0
218,186855,16,3098,175477,11378,14480,0,0,0,0
219,186779,19,3098,173873,12906,16890,0,0,0,0
220,186876,13,2917,177046,9830,11992,0,0,4524,0
221,186908,11,2917,178617,8291,9867,0,0,8093,0
222,186641,13,2195,177192,9449,11653,0,0,4801,0
223,186801,8,1922,180040,6761,7700,0,0,10412,0
224,186872,15,2662,175751,11121,14852,0,0,0,0
225,186895,10,2702,177351,9544,11909,0,0,0,1943
226,186938,17,2112,175124,11814,14892,0,0,0,0
227,186824,17,2662,174845,11979,15154,0,0,0,0
228,186846,14,2672,174995,11851,14984,0,0,0,0
229,186968,17,2672,175301,11667,14964,0,0,0,0
230,186933,9,2702,177337,9596,12284,0,0,0,2898
231,187034,11,2555,177027,10007,12725,0,0,0,1569
232,186849,11,2618,176774,10075,12576,0,0,0,2006
233,187012,13,2618,177158,9854,12679,0,0,0,2337
234,187057,14,2702,175114,11943,15434,0,0,0,0
235,186896,18,2702,174940,11956,14756,0,0,0,0
236,186823,19,2622,175170,11653,15176,0,0,0,0
237,186954,15,2622,175187,11767,14890,0,0,0,0
238,187112,14,3465,175670,11442,14832,0,0,0,800
239,186974,12,3465,176953,10021,13178,0,0,0,1670
240,187008,16,2092,175906,11102,14192,0,0,0,0
241,187024,16,2094,175362,11662,14832,0,0,0,0
242,186794,9,2644,176655,10139,12692,0,0,0,1788
243,187099,12,2615,176726,10373,13540,0,0,0,1706
244,186848,14,2364,174887,11961,15336,0,0,0,0
245,186860,15,2151,175489,11371,15120,0,0,0,0
246,186798,10,2897,176580,10218,12878,0,0,0,1704
247,187063,13,2897,175627,11436,14778,0,0,0,708
248,187042,12,2593,175980,11062,14038,0,0,0,0
249,187028,16,2593,174976,12052,15476,0,0,0,0
