partition,elements,neighboring_ranks,max_mpi_faces_per_neighboring_rank,interior_elements,mpi_elements,mpi_faces,mpi_dr_faces,dynamic_rupture_faces,free_surface_faces,transparent_faces
212,400000,5,4000,381918,18082,18400,0,0,4000,0
213,400000,5,4000,381918,18082,18400,0,0,4000,0
214,400000,5,4000,381918,18082,18400,0,0,4000,0
215,400000,5,4000,381918,18082,18400,0,0,4000,0
216,400000,5,4000,381918,18082,18400,0,0,4000,0
217,400000,5,4000,381918,18082,18400,0,0,4000,0
218,400000,5,4000,381918,18082,18400,0,0,4000,0
219,400000,5,4000,381918,18082,18400,0,0,4000,0
220,400000,5,4000,381918,18082,18400,0,0,4000,0
221,400000,5,4000,381918,18082,18400,0,0,4000,0
222,400000,5,4000,381918,18082,18400,0,0,4000,0
223,400000,4,4000,385789,14211,14400,0,0,8000,0
224,400000,4,4000,385809,14191,14400,0,0,8000,0
225,400000,5,4000,381918,18082,18400,0,0,4000,0
226,400000,5,4000,381918,18082,18400,0,0,4000,0
227,400000,5,4000,381918,18082,18400,0,0,4000,0
228,400000,5,4000,381918,18082,18400,0,0,4000,0
229,400000,5,4000,381918,18082,18400,0,0,4000,0
230,400000,5,4000,381918,18082,18400,0,0,4000,0
231,400000,5,4000,381918,18082,18400,0,0,4000,0
232,400000,5,4000,381918,18082,18400,0,0,4000,0
233,400000,5,4000,381918,18082,18400,0,0,4000,0
234,400000,5,4000,381918,18082,18400,0,0,4000,0
235,400000,5,4000,381918,18082,18400,0,0,4000,0
236,400000,5,4000,381918,18082,18400,0,0,4000,0
237,400000,5,4000,381918,18082,18400,0,0,4000,0
238,400000,5,4000,381918,18082,18400,0,0,4000,0
239,400000,4,4000,385789,14211,14400,0,0,8000,0
240,400000,4,4000,385809,14191,14400,0,0,8000,0
241,400000,5,4000,381918,18082,18400,0,0,4000,0
242,400000,5,4000,381918,18082,18400,0,0,4000,0
243,400000,5,4000,381918,18082,18400,0,0,4000,0
244,400000,5,4000,381918,18082,18400,0,0,4000,0
245,400000,5,4000,381918,18082,18400,0,0,4000,0
246,400000,5,4000,381918,18082,18400,0,0,4000,0
247,400000,5,4000,381918,18082,18400,0,0,4000,0
248,400000,5,4000,381918,18082,18400,0,0,4000,0
