partition,elements,neighboring_ranks,max_mpi_faces_per_neighboring_rank,interior_elements,mpi_elements,mpi_faces,mpi_dr_faces,dynamic_rupture_faces,free_surface_faces,transparent_faces
11866,9122,9,273,8123,999,1099,0,0,701,0
11867,9041,11,318,7978,1063,1185,0,0,503,0
11868,9134,13,281,7786,1348,1548,0,0,324,0
11869,9057,8,278,8096,961,1062,0,0,602,0
11870,9100,13,251,8060,1040,1174,0,0,468,0
11871,9126,10,292,8040,1086,1229,0,0,565,0
11872,9141,5,251,8238,903,1009,0,0,587,0
11873,9105,5,306,8408,697,792,0,0,407,375
11874,9125,10,234,8109,1016,1137,0,0,673,0
11875,9089,12,291,7778,1311,1521,0,0,395,0
11876,9025,6,306,8065,960,1062,0,0,442,198
11877,9147,14,300,7831,1316,1535,0,0,343,0
11878,9065,9,277,7989,1076,1209,0,0,505,0
11879,9018,8,291,7941,1077,1203,0,0,495,0
11880,9109,7,242,8284,825,931,0,0,495,190
11881,9018,7,329,8163,855,946,0,0,397,457
11882,9088,7,329,8088,1000,1118,0,0,570,0
11883,9117,9,402,8145,972,1224,0,0,0,488
11884,9091,8,402,7957,1134,1405,0,0,0,323
11885,9019,9,234,8012,1007,1144,0,0,251,371
11886,9052,4,288,8424,628,702,0,0,581,387
11887,9108,11,319,7874,1234,1439,0,0,0,523
11888,9111,10,289,7863,1248,1597,0,0,0,115
11889,9118,15,265,7799,1319,1676,0,0,0,164
11890,9061,20,241,7683,1378,1732,0,0,0,0
11891,9103,17,328,7650,1453,1900,0,0,0,0
11892,9087,13,378,7956,1131,1407,0,0,0,341
11893,9113,17,378,7646,1467,1892,0,0,0,0
11894,9090,22,348,7556,1534,1978,0,0,0,0
11895,9086,15,252,7683,1403,1774,0,0,0,0
11896,9096,18,345,7588,1508,1912,0,0,0,0
11897,9113,14,348,7669,1444,1882,0,0,0,0
11898,9095,17,247,7733,1362,1772,0,0,0,0
11899,9094,16,266,7647,1447,1878,0,0,0,0
11900,9114,11,266,8033,1081,1407,0,0,0,445
11901,9140,14,243,7885,1255,1609,0,0,0,303
11902,9104,15,337,7679,1425,1822,0,0,0,0
11903,9112,15,337,7784,1328,1726,0,0,0,0
11904,9163,16,305,7791,1372,1727,0,0,0,105
11905,9119,16,305,7753,1366,1782,0,0,0,0
11906,9098,17,320,7651,1447,1876,0,0,0,0
11907,9087,14,301,7950,1137,1458,0,0,0,358
11908,9110,14,320,7704,1406,1821,0,0,0,137
11909,9106,13,415,7731,1375,1770,0,0,0,0
11910,9138,24,289,7616,1522,1908,0,0,0,0
11911,9080,12,238,7930,1150,1417,0,0,0,301
11912,9095,16,415,7659,1436,1918,0,0,0,0
11913,9118,11,246,7909,1209,1570,0,0,0,260
11914,9085,8,249,8013,1072,1181,0,0,559,0
11915,9109,9,249,8118,991,1129,0,0,591,0
11916,9122,8,248,8137,985,1123,0,0,615,0
11917,9117,10,372,8073,1044,1190,0,0,327,321
11918,9060,5,372,8257,803,881,0,0,490,315
11919,9158,10,302,8216,942,1052,0,0,428,242
11920,9060,6,301,8283,777,859,0,0,442,371
11921,9137,11,211,8067,1070,1216,0,0,596,0
11922,9097,10,270,8028,1069,1182,0,0,472,0
11923,8989,12,302,7779,1210,1372,0,0,508,0
11924,9105,6,350,8279,826,924,0,0,518,190
11925,9027,12,350,7871,1156,1322,0,0,173,299
11926,9055,6,220,8258,797,875,0,0,316,407
11927,9110,6,269,8130,980,1115,0,0,613,0
11928,9112,14,269,7957,1155,1325,0,0,517,0
11929,9066,15,301,7600,1466,1653,0,0,349,0
11930,9138,12,317,7775,1363,1597,0,0,303,0
11931,9034,10,317,7905,1129,1247,0,0,531,0
11932,9119,9,236,8148,971,1091,0,0,639,0
